SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630692,0022201059,"MAR 18, 2023",WAS vs. SAC,L,6,3,5,0.6,2,3,0.667,0,0,0.0,0,1,1,1,1,0,0,0,8,8,1
22022,1630692,0022201049,"MAR 17, 2023",WAS @ CLE,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22022,1630692,0022201028,"MAR 14, 2023",WAS vs. DET,W,13,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,2,2,-6,1
22022,1630692,0022200999,"MAR 10, 2023",WAS vs. ATL,L,7,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22022,1630692,0022200985,"MAR 08, 2023",WAS vs. ATL,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22022,1630692,0022200769,"MAR 07, 2023",WAS @ DET,W,16,3,4,0.75,0,0,0.0,0,0,0.0,0,3,3,6,0,1,0,3,6,-4,1
22022,1630692,0022200973,"MAR 05, 2023",WAS vs. MIL,L,19,1,7,0.143,0,2,0.0,1,2,0.5,4,4,8,4,1,0,1,1,3,-5,1
22022,1630692,0022200956,"MAR 04, 2023",WAS vs. TOR,L,21,3,4,0.75,0,1,0.0,1,1,1.0,2,1,3,2,0,0,2,1,7,-14,1
22022,1630692,0022200942,"MAR 02, 2023",WAS vs. TOR,W,12,2,3,0.667,1,2,0.5,0,0,0.0,2,3,5,1,0,0,2,1,5,8,1
22022,1630692,0022200923,"FEB 28, 2023",WAS @ ATL,W,18,2,3,0.667,0,0,0.0,2,2,1.0,1,0,1,4,2,0,0,2,6,5,1
22022,1630692,0022200912,"FEB 26, 2023",WAS @ CHI,L,19,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,3,1,0,1,2,0,-14,1
22022,1630692,0022200849,"FEB 11, 2023",WAS vs. IND,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-7,1
22022,1630692,0022200823,"FEB 08, 2023",WAS vs. CHA,W,17,2,6,0.333,0,1,0.0,0,0,0.0,1,1,2,0,1,2,1,2,4,10,1
22022,1630692,0022200809,"FEB 06, 2023",WAS vs. CLE,L,10,0,3,0.0,0,1,0.0,1,2,0.5,0,0,0,0,1,0,0,1,1,-9,1
22022,1630692,0022200793,"FEB 04, 2023",WAS @ BKN,L,13,3,3,1.0,0,0,0.0,2,2,1.0,0,3,3,1,1,0,0,0,8,-6,1
22022,1630692,0022200722,"JAN 25, 2023",WAS @ HOU,W,15,1,4,0.25,1,1,1.0,2,2,1.0,0,1,1,2,2,0,0,0,5,16,1
22022,1630692,0022200660,"JAN 16, 2023",WAS vs. GSW,L,14,1,2,0.5,0,1,0.0,1,1,1.0,0,2,2,1,1,0,0,1,3,-7,1
22022,1630692,0022200634,"JAN 13, 2023",WAS vs. NYK,L,26,2,12,0.167,1,5,0.2,0,0,0.0,1,4,5,3,1,1,0,3,5,-20,1
22022,1630692,0022200619,"JAN 11, 2023",WAS vs. CHI,W,14,2,6,0.333,2,3,0.667,0,0,0.0,0,0,0,2,0,1,1,3,6,3,1
22022,1630692,0022200605,"JAN 09, 2023",WAS vs. NOP,L,17,1,1,1.0,1,1,1.0,1,2,0.5,0,1,1,4,2,0,3,3,4,-9,1
22022,1630692,0022200584,"JAN 06, 2023",WAS @ OKC,L,22,4,6,0.667,1,2,0.5,0,0,0.0,1,1,2,1,1,1,2,2,9,0,1
22022,1630692,0022200561,"JAN 03, 2023",WAS @ MIL,L,1,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,2,0,0,0,0,2,4,1
22022,1630692,0022200548,"JAN 01, 2023",WAS @ MIL,W,4,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,0,2,0,1
22022,1630692,0022200529,"DEC 30, 2022",WAS @ ORL,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,1
22022,1630692,0022200516,"DEC 28, 2022",WAS vs. PHX,W,2,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,0,1,1
22022,1630692,0022200478,"DEC 22, 2022",WAS @ UTA,L,16,5,9,0.556,1,2,0.5,0,0,0.0,0,5,5,2,0,1,2,2,11,-9,1
22022,1630692,0022200464,"DEC 20, 2022",WAS @ PHX,W,12,1,5,0.2,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,2,2,-8,1
22022,1630692,0022200451,"DEC 18, 2022",WAS @ LAL,L,19,3,5,0.6,0,1,0.0,1,1,1.0,0,7,7,5,0,0,0,2,7,10,1
22022,1630692,0022200438,"DEC 17, 2022",WAS @ LAC,L,21,2,7,0.286,0,2,0.0,3,3,1.0,3,5,8,3,3,0,1,3,7,2,1
22022,1630692,0022200422,"DEC 14, 2022",WAS @ DEN,L,21,5,12,0.417,1,4,0.25,1,2,0.5,1,0,1,6,0,1,2,1,12,-12,1
22022,1630692,0022200403,"DEC 12, 2022",WAS vs. BKN,L,36,5,9,0.556,0,2,0.0,1,2,0.5,0,4,4,7,2,0,3,1,11,-6,1
22022,1630692,0022200389,"DEC 10, 2022",WAS vs. LAC,L,38,6,13,0.462,2,5,0.4,3,4,0.75,2,2,4,6,6,0,1,3,17,5,1
22022,1630692,0022200378,"DEC 09, 2022",WAS @ IND,L,34,6,10,0.6,3,5,0.6,4,4,1.0,2,2,4,3,5,0,2,2,19,-9,1
22022,1630692,0022200367,"DEC 07, 2022",WAS @ CHI,L,13,2,6,0.333,0,1,0.0,0,0,0.0,1,3,4,1,1,0,1,0,4,2,1
22022,1630692,0022200349,"DEC 04, 2022",WAS vs. LAL,L,26,3,9,0.333,1,2,0.5,1,1,1.0,2,5,7,3,2,1,1,3,8,1,1
22022,1630692,0022200326,"DEC 02, 2022",WAS @ CHA,L,14,1,5,0.2,1,1,1.0,0,0,0.0,3,3,6,1,0,0,1,2,3,-11,1
22022,1630692,0022200315,"NOV 30, 2022",WAS @ BKN,L,19,1,5,0.2,0,1,0.0,3,3,1.0,2,3,5,3,0,0,1,1,5,-1,1
22022,1630692,0022200300,"NOV 28, 2022",WAS vs. MIN,W,23,5,6,0.833,0,0,0.0,0,0,0.0,0,3,3,6,1,0,2,2,10,-2,1
22022,1630692,0022200294,"NOV 27, 2022",WAS @ BOS,L,24,4,8,0.5,0,3,0.0,1,2,0.5,0,1,1,2,2,1,0,3,9,-6,1
22022,1630692,0022200277,"NOV 25, 2022",WAS @ MIA,L,25,2,4,0.5,1,2,0.5,2,2,1.0,1,5,6,2,2,0,2,3,7,0,1
22022,1630692,0022200265,"NOV 23, 2022",WAS @ MIA,L,25,3,7,0.429,1,2,0.5,1,3,0.333,0,1,1,3,1,0,0,2,8,-1,1
22022,1630692,0022200241,"NOV 20, 2022",WAS vs. CHA,W,24,2,4,0.5,1,1,1.0,0,2,0.0,1,1,2,1,0,3,1,2,5,-13,1
22022,1630692,0022200213,"NOV 16, 2022",WAS vs. OKC,L,20,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,1,0,1,3,2,4,-15,1
22022,1630692,0022200194,"NOV 13, 2022",WAS vs. MEM,W,26,3,7,0.429,3,4,0.75,1,2,0.5,1,7,8,4,1,1,0,2,10,3,1
22022,1630692,0022200185,"NOV 12, 2022",WAS vs. UTA,W,21,3,8,0.375,3,3,1.0,0,0,0.0,1,1,2,2,1,2,0,3,9,-8,1
22022,1630692,0022200172,"NOV 10, 2022",WAS vs. DAL,W,29,1,4,0.25,0,1,0.0,0,0,0.0,1,6,7,6,1,0,2,2,2,12,1
22022,1630692,0022200144,"NOV 07, 2022",WAS @ CHA,W,21,7,7,1.0,1,1,1.0,2,2,1.0,2,2,4,5,0,2,1,1,17,10,1
22022,1630692,0022200142,"NOV 06, 2022",WAS @ MEM,L,26,4,7,0.571,1,4,0.25,0,0,0.0,4,4,8,5,2,1,0,3,9,12,1
22022,1630692,0022200123,"NOV 04, 2022",WAS vs. BKN,L,8,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-5,1
22022,1630692,0022200089,"OCT 30, 2022",WAS @ BOS,L,18,3,4,0.75,0,1,0.0,0,0,0.0,0,2,2,2,1,1,1,1,6,8,1
22022,1630692,0022200052,"OCT 25, 2022",WAS vs. DET,W,2,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,0,2,0,1
22021,1630692,0022100527,"DEC 30, 2021",WAS vs. CLE,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1,1
22021,1630692,0022100509,"DEC 28, 2021",WAS @ MIA,L,3,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1
